graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
0,GAT,1:1,focal_loss,43,GNNExplainer,0.737,30,0.914,0.536,0.3,nan,0.468,-0.234,31,
0,GAT,1:1,focal_loss,43,PGExplainer,0.737,30,nan,0.204,nan,nan,-0.132,0.232,31,no
0,GAT,1:1,focal_loss,43,GNNShap,0.737,30,0.986,nan,0.1,0.951,0.214,0.123,31,
0,GAT,1:1,focal_loss,44,GNNExplainer,0.751,30,0.93,0.552,0.333,nan,0.496,-0.2,28,
0,GAT,1:1,focal_loss,44,PGExplainer,0.751,30,nan,0.702,nan,nan,-0.072,-0.095,28,no
0,GAT,1:1,focal_loss,44,GNNShap,0.751,30,0.986,nan,0.3,0.939,0.272,0.154,28,
0,GAT,1:10,none,42,GNNExplainer,0.828,30,0.973,0.565,0.667,nan,0.567,-0.136,32,
0,GAT,1:10,none,42,PGExplainer,0.828,30,nan,0.434,nan,nan,-0.191,0.607,32,no
0,GAT,1:10,none,42,GNNShap,0.828,30,0.967,nan,0.167,0.933,0.506,0.391,32,
0,GAT,1:10,none,43,GNNExplainer,0.817,30,0.982,0.541,0.333,nan,0.656,-0.108,33,
0,GAT,1:10,none,43,PGExplainer,0.817,30,nan,0.795,nan,nan,0.07,0.014,33,no
0,GAT,1:10,none,43,GNNShap,0.817,30,0.964,nan,0.233,0.948,0.56,0.441,33,
0,GAT,1:10,none,44,GNNExplainer,0.877,30,0.974,0.533,0.433,nan,0.587,-0.164,33,
0,GAT,1:10,none,44,PGExplainer,0.877,30,nan,0.741,nan,nan,0.351,-0.171,33,no
0,GAT,1:10,none,44,GNNShap,0.877,30,0.942,nan,0.1,0.967,0.676,0.244,33,
0,GAT,1:10,class_weighting,42,GNNExplainer,0.834,30,0.97,0.525,0.567,nan,0.482,-0.105,29,
0,GAT,1:10,class_weighting,42,PGExplainer,0.834,30,nan,0.509,nan,nan,-0.124,0.376,29,no
0,GAT,1:10,class_weighting,42,GNNShap,0.834,30,0.954,nan,0.2,0.952,0.615,0.344,29,
0,GAT,1:10,class_weighting,43,GNNExplainer,0.744,30,0.967,0.534,0.367,nan,0.688,-0.141,28,
0,GAT,1:10,class_weighting,43,PGExplainer,0.744,30,nan,0.743,nan,nan,0.095,-0.109,28,no
0,GAT,1:10,class_weighting,43,GNNShap,0.744,30,0.978,nan,0.2,0.961,0.474,0.374,28,
0,GAT,1:10,class_weighting,44,GNNExplainer,0.816,30,0.972,0.545,0.433,nan,0.682,-0.069,29,
