architecture,scenario,balancing,explainer,node,node_typ,spearman,plaus_edge,plaus_feat,shap_conc,fid_plus,fid_minus,sub_n_nodes
GraphSAGE,1:1,focal_loss,GNNExplainer,8209,1,0.8837593984962405,0.6590909090909091,0.0,,1.0,0.0,25
GraphSAGE,1:1,focal_loss,GNNExplainer,8029,1,0.9532330827067668,0.4090909090909091,0.0,,1.0,0.0,25
GraphSAGE,1:1,focal_loss,GNNExplainer,8716,2,0.9568421052631576,0.375,1.0,,1.0,0.0,23
GraphSAGE,1:1,focal_loss,GNNExplainer,8602,2,0.8488721804511279,0.25,1.0,,1.0,0.0,16
GraphSAGE,1:1,focal_loss,GNNExplainer,9405,4,0.877142857142857,0.5555555555555556,0.0,,1.0,0.0,30
GraphSAGE,1:1,focal_loss,GNNExplainer,9462,4,0.922706766917293,0.575,0.0,,1.0,0.0,33
GraphSAGE,1:1,focal_loss,GNNExplainer,9352,4,0.8646616541353384,0.525,1.0,,1.0,0.0,36
GraphSAGE,1:1,focal_loss,GNNExplainer,8519,2,0.8227067669172932,0.5,0.0,,1.0,0.0,21
GraphSAGE,1:1,focal_loss,GNNExplainer,9174,3,0.9015037593984963,0.5208333333333334,0.0,,1.0,0.0,41
GraphSAGE,1:1,focal_loss,GNNExplainer,8333,1,0.9120300751879699,0.5238095238095238,0.0,,1.0,0.0,33
GraphSAGE,1:1,focal_loss,GNNExplainer,9488,4,0.5418045112781955,0.5,0.0,,0.0,0.0,67
GraphSAGE,1:1,focal_loss,PGExplainer,8790,2,,0.6666666666666666,,,,,24
GraphSAGE,1:1,focal_loss,PGExplainer,8147,1,,0.9705882352941176,,,,,28
GraphSAGE,1:1,focal_loss,PGExplainer,8745,2,,1.0,,,,,21
GraphSAGE,1:1,focal_loss,PGExplainer,8336,1,,0.9523809523809523,,,,,30
GraphSAGE,1:1,focal_loss,PGExplainer,8404,2,,0.75,,,,,25
GraphSAGE,1:1,focal_loss,PGExplainer,9343,4,,0.975,,,,,32
GraphSAGE,1:1,focal_loss,PGExplainer,8107,1,,0.9782608695652174,,,,,83
GraphSAGE,1:1,focal_loss,PGExplainer,8053,1,,0.9545454545454546,,,,,83
GraphSAGE,1:1,focal_loss,PGExplainer,8285,1,,0.9615384615384616,,,,,27
GraphSAGE,1:1,focal_loss,PGExplainer,8346,1,,1.0,,,,,35
GraphSAGE,1:1,focal_loss,PGExplainer,8985,3,,1.0,,,,,36
GraphSAGE,1:1,focal_loss,PGExplainer,8906,3,,0.9545454545454546,,,,,37
GraphSAGE,1:1,focal_loss,PGExplainer,8827,2,,1.0,,,,,23
GraphSAGE,1:1,focal_loss,PGExplainer,8270,1,,0.9666666666666667,,,,,25
GraphSAGE,1:1,focal_loss,PGExplainer,8635,2,,0.5,,,,,23
GraphSAGE,1:1,focal_loss,PGExplainer,9065,3,,1.0,,,,,33
GraphSAGE,1:1,focal_loss,PGExplainer,8738,2,,1.0,,,,,17
GraphSAGE,1:1,focal_loss,PGExplainer,8749,2,,1.0,,,,,19
GraphSAGE,1:1,focal_loss,PGExplainer,8828,2,,0.5,,,,,25
GraphSAGE,1:1,focal_loss,PGExplainer,8209,1,,0.9772727272727273,,,,,25
GraphSAGE,1:1,focal_loss,PGExplainer,8029,1,,0.9545454545454546,,,,,25
GraphSAGE,1:1,focal_loss,PGExplainer,8716,2,,0.75,,,,,23
GraphSAGE,1:1,focal_loss,PGExplainer,8602,2,,0.75,,,,,16
GraphSAGE,1:1,focal_loss,PGExplainer,9405,4,,0.9444444444444444,,,,,30
GraphSAGE,1:1,focal_loss,PGExplainer,9462,4,,0.9500000000000001,,,,,33
GraphSAGE,1:1,focal_loss,PGExplainer,9352,4,,0.975,,,,,36
GraphSAGE,1:1,focal_loss,PGExplainer,8519,2,,0.5,,,,,21
GraphSAGE,1:1,focal_loss,PGExplainer,9174,3,,0.9583333333333334,,,,,41
GraphSAGE,1:1,focal_loss,PGExplainer,8333,1,,0.9523809523809523,,,,,33
GraphSAGE,1:1,focal_loss,PGExplainer,9488,4,,0.9,,,,,67
GraphSAGE,1:1,focal_loss,GNNShap,8790,2,0.9667669172932329,,0.0,0.9570890682501544,,,24
GraphSAGE,1:1,focal_loss,GNNShap,8147,1,0.9921804511278195,,0.0,0.9579143862108077,,,28
GraphSAGE,1:1,focal_loss,GNNShap,8745,2,0.9876691729323307,,0.0,0.970105421310618,,,21
GraphSAGE,1:1,focal_loss,GNNShap,8336,1,0.9830075187969923,,0.0,0.9748831463629694,,,30
GraphSAGE,1:1,focal_loss,GNNShap,8404,2,0.9930827067669172,,0.0,0.959408480306473,,,25
GraphSAGE,1:1,focal_loss,GNNShap,9343,4,0.9917293233082706,,0.0,0.9524889916465827,,,32
GraphSAGE,1:1,focal_loss,GNNShap,8107,1,0.9530827067669172,,0.0,0.994277421117825,,,83
GraphSAGE,1:1,focal_loss,GNNShap,8053,1,0.9763909774436088,,0.0,0.9963953021395475,,,83
GraphSAGE,1:1,focal_loss,GNNShap,8285,1,0.983157894736842,,0.0,0.9612027912324766,,,27
GraphSAGE,1:1,focal_loss,GNNShap,8346,1,0.9851127819548869,,0.0,0.9667814056018808,,,35
GraphSAGE,1:1,focal_loss,GNNShap,8985,3,0.9936842105263158,,0.0,0.9771553523818663,,,36
GraphSAGE,1:1,focal_loss,GNNShap,8906,3,0.9798496240601503,,0.0,0.987159948071121,,,37
GraphSAGE,1:1,focal_loss,GNNShap,8827,2,0.9700751879699248,,1.0,0.966570327014707,,,23
GraphSAGE,1:1,focal_loss,GNNShap,8270,1,0.9921804511278195,,0.0,0.9509850256197272,,,25
GraphSAGE,1:1,focal_loss,GNNShap,8635,2,0.9942857142857141,,1.0,0.9603035276206084,,,23
GraphSAGE,1:1,focal_loss,GNNShap,9065,3,0.9538345864661654,,0.0,0.981419816799461,,,33
GraphSAGE,1:1,focal_loss,GNNShap,8738,2,0.9639097744360903,,0.0,0.9847712095337224,,,17
GraphSAGE,1:1,focal_loss,GNNShap,8749,2,0.9799999999999999,,0.0,0.9541544979249851,,,19
GraphSAGE,1:1,focal_loss,GNNShap,8828,2,0.9792481203007519,,0.0,0.9703869151510472,,,25
GraphSAGE,1:1,focal_loss,GNNShap,8209,1,0.9845112781954887,,0.0,0.9829955501920693,,,25
GraphSAGE,1:1,focal_loss,GNNShap,8029,1,0.9923308270676691,,0.0,0.9664017681546995,,,25
GraphSAGE,1:1,focal_loss,GNNShap,8716,2,0.9673684210526314,,1.0,0.9833997891566542,,,23
