architecture,scenario,node,node_typ,spearman,plaus_f1,plaus_prec,plaus_rec,plaus_feat,sub_n_nodes,sub_n_edges
GAT,1:50,8058,1,0.9921804511278195,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,33,72
GAT,1:50,9174,3,0.9924812030075187,0.5208333333333334,0.5208333333333334,0.5208333333333334,1.0,41,80
GAT,1:50,8897,3,0.980751879699248,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,35,68
GAT,1:50,8921,3,0.9924812030075186,0.5909090909090909,0.5909090909090909,0.5909090909090909,1.0,36,70
GAT,1:50,8059,1,0.9963909774436088,0.5454545454545454,0.5454545454545454,0.5454545454545454,1.0,37,80
GAT,1:50,8331,1,0.9885714285714284,0.5952380952380952,0.5952380952380952,0.5952380952380952,1.0,30,72
GAT,1:50,8051,1,0.9959398496240601,0.5714285714285714,0.5714285714285714,0.5714285714285714,1.0,32,72
GAT,1:50,9046,3,0.9965413533834585,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,32,62
GAT,1:50,8052,1,0.9900751879699248,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,31,70
GAT,1:50,9316,4,0.9896240601503757,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,31,60
GAT,1:50,8053,1,0.9751879699248119,0.5909090909090909,0.5909090909090909,0.5909090909090909,0.0,83,176
GAT,1:50,9313,4,0.9945864661654135,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,32,62
GAT,1:50,9019,3,0.9885714285714284,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0,29,56
GAT,1:50,9112,3,0.9903759398496241,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,33,64
GAT,1:50,8123,1,0.9941353383458645,0.6304347826086957,0.6304347826086957,0.6304347826086957,1.0,31,70
GAT,1:50,9011,3,0.9935338345864662,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0,27,54
GAT,1:50,8917,3,0.9936842105263157,0.5227272727272727,0.5227272727272727,0.5227272727272727,1.0,39,76
GCN,1:1,8863,2,0.9839097744360903,0.5,0.5,0.5,1.0,20,38
GCN,1:1,9489,4,0.9878195488721803,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,34,66
GCN,1:1,9184,3,0.9839097744360898,0.53125,0.53125,0.53125,1.0,35,68
GCN,1:1,9015,3,0.983157894736842,0.5357142857142857,0.5357142857142857,0.5357142857142857,1.0,29,56
GCN,1:1,8280,1,0.9732330827067669,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.0,22,50
