run_id,scenario,architecture,balancing,seed,quality_passed,split,grid_x,pr_precision,roc_tpr
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4200,0.220393,0.832804
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4300,0.214280,0.836512
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4400,0.211205,0.841090
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4500,0.203382,0.844403
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4600,0.196065,0.850857
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4700,0.191518,0.855337
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4800,0.180158,0.860329
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.4900,0.175080,0.866522
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5000,0.169888,0.870158
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5100,0.164849,0.873722
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5200,0.157444,0.879650
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5300,0.152365,0.880635
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5400,0.143151,0.884001
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5500,0.138695,0.888031
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5600,0.131181,0.895322
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5700,0.127415,0.900118
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5800,0.121722,0.905276
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.5900,0.116073,0.906691
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6000,0.112415,0.909694
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6100,0.109081,0.912261
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6200,0.107823,0.914713
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6300,0.106491,0.917786
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6400,0.104573,0.925371
1:100_GAT_focal_loss,1:100,GAT,focal_loss,42,False,val,0.6500,0.104140,0.931073
