run_id,scenario,architecture,balancing,seed,quality_passed,split,n_pos,roc_auc,pr_auc_ap,pr_auc_trap,prec_at_50,prec_at_100,prec_at_npos
1:1_GraphSAGE_class_weighting_s44,1:1,GraphSAGE,class_weighting,44,True,test,169,0.6526831516228127,0.010329462042814475,0.010204534691840253,0.0,0.0,0.0
1:1_GraphSAGE_focal_loss,1:1,GraphSAGE,focal_loss,42,False,val,914,0.9267187563991034,0.4432952354680149,0.4428764605140663,0.8,0.75,0.47045951859956237
1:1_GraphSAGE_focal_loss,1:1,GraphSAGE,focal_loss,42,False,test,169,0.8221571478451137,0.02455562259706306,0.024210901634076038,0.0,0.0,0.011834319526627219
1:1_GraphSAGE_focal_loss_s43,1:1,GraphSAGE,focal_loss,43,False,val,914,0.9176037213824241,0.4546025968749293,0.4535785251194922,0.7,0.73,0.487964989059081
1:1_GraphSAGE_focal_loss_s43,1:1,GraphSAGE,focal_loss,43,False,test,169,0.7954371717638499,0.023523552181864416,0.023239260716974654,0.0,0.0,0.0
1:1_GraphSAGE_focal_loss_s44,1:1,GraphSAGE,focal_loss,44,True,val,914,0.9273307907104416,0.47803583762144686,0.4772014838661381,0.68,0.65,0.5317286652078774
1:1_GraphSAGE_focal_loss_s44,1:1,GraphSAGE,focal_loss,44,True,test,169,0.7694180846331127,0.02246088224506352,0.02209216176423418,0.0,0.0,0.011834319526627219
1:1_GraphSAGE_none,1:1,GraphSAGE,none,42,True,val,914,0.9202379607639314,0.4151686607783434,0.41418859957832077,0.8,0.69,0.45295404814004375
1:1_GraphSAGE_none,1:1,GraphSAGE,none,42,True,test,169,0.7787747205514071,0.02020870916540829,0.019830232425527845,0.0,0.03,0.01775147928994083
1:1_GraphSAGE_none_s43,1:1,GraphSAGE,none,43,True,val,914,0.8094893263055506,0.22868288358711442,0.22769308670310223,0.68,0.57,0.32603938730853393
1:1_GraphSAGE_none_s43,1:1,GraphSAGE,none,43,True,test,169,0.6753023870106032,0.011443207944626454,0.011305284176272586,0.0,0.0,0.0
1:1_GraphSAGE_none_s44,1:1,GraphSAGE,none,44,True,val,914,0.8481838318080033,0.2842908205907831,0.2833127505899453,0.62,0.52,0.387308533916849
1:1_GraphSAGE_none_s44,1:1,GraphSAGE,none,44,True,test,169,0.5457521729744528,0.007614002056226393,0.007518467282473962,0.0,0.0,0.0
